paper_type,revenue,returned_at,review,shipping_address,shipping_latitude,shipping_longitude,shipping_mode,order_id,purchased_at,status,cancelled_at,product_id,product_name,price,discount,shipping_cost,quantity,business_size,payment_cycle,account_id,account_name,order_contact_name,order_contact_email,account_manager,days_to_close,shipping_city,shipping_state,shipping_zip,shipping_region,days_to_ship,reviewed_at,rating,index,Sentimental Analysis
Cardstock,664.2,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",8 Northport Center,44.104485,-72.121743,EXPRESS,23d83a58-d980-4f50-a6f6-46cc88f3ec61,08-06-2021 10:48,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,100,180,720,BIWEEK,60906229fc13ae0a6b00014e,Buckridge-Yundt,Leopold Lion,leopold@buckridge-yundt.com,Creed Patton,144,South Geraldinestad,WY,5051,West,6,30-06-2021 21:08,4,3,Positive
Cardstock,24064.6,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",45124 Oakridge Terrace,42.904663,-109.738811,REGULAR,3115157b-5381-47b1-8ccb-9a1bdd663c0f,19-08-2021 11:27,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,30.94,,140,2939,ANNUAL,60906229fc13ae0a6b000035,"Kozey, Mante and Wisoky",Vesta Sheep,vesta@kozey.com,Erin Hannon,36,West Cameronside,TN,82941,South,5,17-09-2021 00:25,4,4,Positive
Printer,1063.2,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",67 Nelson Street,36.113864,-80.631592,REGULAR,3650c572-0384-4b77-9384-8e20080d909b,17-12-2021 05:01,COMPLETED,,191259,"JAM Paper Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",13.29,,,80,973,ANNUAL,60906229fc13ae0a6b0003d5,Rodriguez-Hyatt,Doc Rabbit,doc@rodriguez-hyatt.com,Angela Martin,17,Port Paula,TX,27077,South,5,12-01-2022 00:27,4,15,Positive
Multipurpose,2345.7,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",8 Fair Oaks Lane,26.315322,-80.277978,REGULAR,4ae41e6a-c706-4471-8133-1585293d68e0,07-08-2021 19:47,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,,30,836,ANNUAL,60906229fc13ae0a6b000360,"Moore, Quitzon and Vandervort",Becky Chicken,becky@moore.com,Kevin Malone,70,Grahamstad,DE,33077,South,7,07-09-2021 06:35,4,11,Positive
Multipurpose,15258.6,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",56 Homewood Circle,35.280999,-82.416555,REGULAR,5fe76018-c946-4575-ae5d-08962feedcc2,12-02-2021 17:11,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,,140,826,WEEK,60906229fc13ae0a6b000198,Mueller-Feeney,Stinky Cat,stinky@mueller-feeney.com,Kelly Kapoor,9,West Gay,MT,28728,West,8,13-03-2021 06:23,4,15,Positive
Cardstock,110.7,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",27937 Pawling Lane,32.038799,-94.57588,REGULAR,7454fba6-0c07-480b-9133-e1f2175c125a,05-06-2021 06:24,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,,30,734,ANNUAL,60906229fc13ae0a6b0002a1,McKenzie Group,Norma Cow,norma@mckenzie.com,Phyllis Vance,47,New Sydneeburgh,HI,75669,West,7,20-06-2021 23:55,4,14,Positive
Cardstock,34378,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",91 Helena Park,31.760618,-106.478578,REGULAR,789f3b1d-f1ea-45c5-a8cb-43ece993dce7,23-04-2021 16:38,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,8.59,,200,4710,ANNUAL,60906229fc13ae0a6b0000e1,Kautzer-Koch,Naomi Cow,naomi@kautzer-koch.com,Michael Scott,148,New Hertafurt,AL,79901,South,6,21-05-2021 14:43,4,9,Positive
Printer,2658,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",3791 Warner Center,39.23997,-76.67945,REGULAR,95b8143b-e454-4353-8dec-0c37d626fef4,03-10-2021 06:30,COMPLETED,,191259,"JAM Paper Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",13.29,,,200,774,BIWEEK,60906229fc13ae0a6b000155,"Feest, Moen and Gusikowski",Ed Horse,ed@feest.com,Kelly Kapoor,41,West Dashawnberg,MS,21227,South,6,13-10-2021 18:15,4,11,Positive
Multipurpose,10164.7,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",72 Vidon Trail,30.407038,-90.063421,REGULAR,a2f4f409-e459-4508-9809-d48443010703,16-12-2021 07:42,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,,130,110,MONTH,60906229fc13ae0a6b0003c1,"Cronin, Barton and Powlowski",Tabby Cat,tabby@cronin.com,Ryan Howard,104,Erynhaven,RI,70478,Northeast,1,04-01-2022 14:54,4,7,Positive
Multipurpose,144240,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",00 Utah Plaza,43.069849,-89.422525,EXPRESS,bd8d7ef8-0598-488e-a5fe-80f47b7be16f,06-07-2021 06:36,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,100,80,143,MONTH,60906229fc13ae0a6b0000d7,Muller-Schaden,Robin Bird,robin@muller-schaden.com,Meredith Palmer,12,East Princessfurt,OK,53789,South,5,18-07-2021 03:58,4,7,Positive
Multipurpose,14074.2,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",0541 Namekagon Place,30.492408,-97.748324,EXPRESS,cd9bb8fa-1cee-4ec3-8767-523c9c161904,22-03-2021 20:55,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,100,180,990,WEEK,60906229fc13ae0a6b000091,"Treutel, Kshlerin and Schowalter",Gigi Frog,gigi@treutel.com,Oscar Martinez,80,South Anika,HI,78717,West,6,04-04-2021 08:41,4,14,Positive
Multipurpose,6539.4,,"It took a few days longer to ship than I would have expected, but otherwise a good experience",2 Tomscot Crossing,34.917644,-94.865138,EXPRESS,dc3320b1-eecb-4d5f-8cbf-34109c0cdef2,04-02-2021 04:35,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,100,60,119,MONTH,60906229fc13ae0a6b000101,Swift Group,Bluebear Cub,bluebear@swift.com,Kelly Kapoor,2,South Edaberg,MT,74966,West,5,21-02-2021 00:59,4,13,Positive
Multipurpose,7629.3,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",50458 Drewry Trail,41.335283,-87.810291,REGULAR,04aec9e9-557a-405e-b3a4-9b942a0f1e49,27-12-2021 08:10,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,,70,346,BIWEEK,60906229fc13ae0a6b0002bd,Grady-Grimes,Raddle Frog,raddle@grady-grimes.com,Dwight Schrute,80,West Antwonbury,CT,60468,Northeast,1,24-01-2022 09:08,3,6,Negative
Kraft Roll,10198.3,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",339 Dryden Plaza,43.904933,-90.952867,EXPRESS,0ff29354-a4b3-450b-b399-0cf063d7debb,20-05-2021 03:26,COMPLETED,,310-36-40,"Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",59.99,1.2,100,170,833,BIWEEK,60906229fc13ae0a6b0001cd,Fadel-Murazik,Tex Penguin,tex@fadel-murazik.com,Andy Bernard,139,East Adriannaport,MS,54614,South,4,08-06-2021 01:16,3,4,Negative
Copy,115120,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",77 Onsgard Avenue,33.927561,-117.887086,EXPRESS,13bf1370-5f74-4e4a-a1dc-c0164977540c,08-05-2021 17:53,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,80,780,WEEK,60906229fc13ae0a6b0002eb,Leuschke Ltd,Snooty Anteater,snooty@leuschke.com,Michael Scott,99,Cummeratamouth,AL,92821,South,5,02-06-2021 00:50,3,10,Negative
Multipurpose,781.9,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",1856 Shelley Plaza,30.28584,-95.312397,EXPRESS,282ccbef-f8e6-43e0-b750-d520fc04303c,13-03-2021 18:58,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,100,10,16,MONTH,60906229fc13ae0a6b000037,"Volkman, Kuphal and Watsica",Curt Bear,curt@volkman.com,Creed Patton,119,Bodefort,MT,77311,West,6,05-04-2021 02:53,3,3,Negative
Cardstock,18907.9,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",6 Elgar Trail,43.069849,-89.422525,REGULAR,2f1298fd-e33f-4a27-b504-2490003aba25,01-03-2021 05:06,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,25.78,,110,1133,ANNUAL,60906229fc13ae0a6b000138,Lind-Crist,Roald Penguin,roald@lind-crist.com,Dwight Schrute,20,New Majorbury,MN,53756,Midwest,3,23-03-2021 20:27,3,6,Negative
Kraft Roll,8998.5,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",748 Superior Center,25.753332,-80.270379,REGULAR,402d0235-a74f-462a-acf2-7f65805d5c08,02-09-2021 11:35,COMPLETED,,310-36-40,"Delta Paper Butcher Paper Roll, White, 40 lbs., 36"" x 1000', 1 Roll",59.99,0.6,,150,466,BIWEEK,60906229fc13ae0a6b00011c,"Nicolas, Murazik and Nicolas",Yuka Koala,yuka@nicolas.com,Ryan Howard,107,Hassanshire,NY,33134,Northeast,3,28-09-2021 21:54,3,11,Negative
Copy,43170,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",62 Northview Junction,42.265992,-122.900842,EXPRESS,4fc20b00-9d21-4d92-9df0-23cd97c49bec,18-12-2021 14:53,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,30,795,ANNUAL,60906229fc13ae0a6b000096,Kilback and Sons,Flo Penguin,flo@kilback.com,Dwight Schrute,31,West Roelfurt,NY,97501,Northeast,0,09-01-2022 22:05,3,9,Negative
Multipurpose,90150,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",19097 Warner Plaza,32.474087,-97.422013,REGULAR,71780379-89b9-438e-930f-d0654b1f645f,04-05-2021 10:35,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,,50,801,ANNUAL,60906229fc13ae0a6b000059,"Hermann, Goldner and Schaden",Cranston Ostrich,cranston@hermann.com,Dwight Schrute,93,Claudeburgh,MT,76058,West,10,27-05-2021 09:23,3,6,Negative
Kraft Roll,1068,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",380 Rusk Plaza,35.606468,-86.586661,REGULAR,9b4921a9-98f7-47ee-8f01-cfe62d4810d5,24-08-2021 03:33,COMPLETED,,C2130240ST,"Delta Paper Kraft Paper Roll, Brown, 30 lbs., 24"" x 1200', 1 Roll",35.6,7.48,,30,514,ANNUAL,60906229fc13ae0a6b0003bb,Keebler Ltd,Walker Dog,walker@keebler.com,Andy Bernard,89,North Jadonborough,MT,37180,West,8,05-09-2021 10:45,3,3,Negative
Multipurpose,8600.9,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",66357 Hansons Park,37.61903,-94.015167,REGULAR,a40a6967-d272-493a-a11e-52c2db9e56f8,17-01-2021 00:04,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,,110,763,WEEK,60906229fc13ae0a6b00033e,Morissette Group,Raymond Cat,raymond@morissette.com,Andy Bernard,79,Kubville,FL,64756,South,6,13-02-2021 01:45,3,14,Negative
Copy,115120,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",85679 Loftsgordon Drive,30.39186,-81.400074,REGULAR,c9892064-6b53-46dd-a0bf-2c7296cda952,21-11-2021 04:09,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,,80,560,WEEK,60906229fc13ae0a6b000000,Durgan-Green,Cookie Dog,cookie@durgan-green.com,Dwight Schrute,7,East Shayna,NJ,32229,Northeast,3,18-12-2021 12:04,3,5,Negative
Copy,244630,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",469 Hansons Court,39.982598,-90.402049,EXPRESS,d316d8a3-d181-49c6-8aa2-d531bfe5e5d8,29-08-2021 16:38,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,170,399,BIWEEK,60906229fc13ae0a6b000209,"Leffler, Brekke and Champlin",Mint Squirrel,mint@leffler.com,Ryan Howard,28,Croninfort,OK,62620,South,4,14-09-2021 05:35,3,3,Negative
Multipurpose,46001.8,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",40 Colorado Avenue,39.426562,-84.497608,REGULAR,d7fba6a2-e78d-4cb7-aa98-4ffce4d7fae4,26-11-2021 10:08,COMPLETED,,2700-LQO,"EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2300.09,,,20,2404,ANNUAL,60906229fc13ae0a6b000152,Batz-Schoen,Bree Mouse,bree@batz-schoen.com,Andy Bernard,114,Gusikowskiville,HI,45011,West,9,21-12-2021 14:41,3,3,Negative
Copy,43170,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",38 Columbus Junction,39.615903,-78.75716,EXPRESS,de274f4c-e40c-45a5-abe6-5d57d27887d0,28-02-2021 12:19,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,30,794,ANNUAL,60906229fc13ae0a6b0001b2,Bechtelar LLC,Anicotti Mouse,anicotti@bechtelar.com,Ryan Howard,40,South Lloydtown,FL,26800,South,3,30-03-2021 05:36,3,6,Negative
Copy,215850,,"I've never had a problem with Dunder Mifflin before, but this time my order was MISSING several bundles",9611 Waxwing Hill,40.670022,-74.890271,EXPRESS,facbb178-17ae-4afd-8ca8-e61c2f2d9401,21-01-2021 02:49,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,100,150,101,MONTH,60906229fc13ae0a6b000141,Blanda Group,Moe Cat,moe@blanda.com,Pam Beesly,66,New Dan,NY,8829,Northeast,1,01-02-2021 23:28,3,15,Negative
Printer,2392.2,,Just ok,32515 Barby Trail,37.824047,-90.544546,REGULAR,276ddb67-889f-4846-95f1-e32f5dc0a2b2,04-02-2021 17:56,COMPLETED,,191259,"JAM Paper Strathmore 24lb Paper, 8.5 x 11, Ivory Wove, 100 Sheets/Pack",13.29,,,180,925,WEEK,60906229fc13ae0a6b0000d3,Medhurst Group,Rod Mouse,rod@medhurst.com,Stanley Hudson,30,West Sammy,MT,63619,West,7,28-02-2021 18:10,3,15,Neutral
Multipurpose,460018,,Just ok,41 Dawn Crossing,43.457741,-72.493459,EXPRESS,32f8209f-afc1-4e94-9995-d4758efd0c52,06-11-2021 08:02,COMPLETED,,2700-LQO,"EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2300.09,,100,200,4885,ANNUAL,60906229fc13ae0a6b0003de,Hickle-Carter,Snake Rabbit,snake@hickle-carter.com,Dwight Schrute,140,Tianamouth,CA,5037,West,5,27-11-2021 13:19,3,7,Neutral
Multipurpose,126210,,Just ok,97626 Harbort Trail,46.70924,-89.705285,REGULAR,37b230a3-7220-4c34-9cb7-742fb96263c1,04-04-2021 15:14,COMPLETED,,TR56962-LQO,"TRU RED,¢ Multipurpose Paper, 20 lbs., 96 Bright, 500 /Ream, 10 Reams/Carton, 40 Cartons/Pallet",1803,,,70,494,WEEK,60906229fc13ae0a6b000051,Kub-Hamill,Sparro Bird,sparro@kub-hamill.com,Michael Scott,91,Labadieberg,OH,49980,Midwest,5,03-05-2021 11:09,3,10,Neutral
Printer,1978.5,,Just ok,7537 Harbort Hill,34.492384,-84.958336,REGULAR,46af9594-fa44-46fc-9bf8-75e397091b8a,08-02-2021 02:08,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,,150,216,MONTH,60906229fc13ae0a6b0002fa,Pollich-Stamm,Angus Bull,angus@pollich-stamm.com,Dwight Schrute,47,Port Gonzalo,VT,30702,Northeast,3,01-03-2021 23:16,3,4,Neutral
Printer,395.7,,Just ok,208 Schurz Drive,26.872713,-80.165712,EXPRESS,96b219ec-6643-4c35-968c-5ce43cb74b2a,17-09-2021 07:07,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,100,30,805,ANNUAL,60906229fc13ae0a6b000386,"Bahringer, Koelpin and Mante",Cole Rabbit,cole@bahringer.com,Stanley Hudson,128,Rauberg,HI,33422,West,6,13-10-2021 14:05,3,1,Neutral
Multipurpose,10899,,Just ok,84758 Birchwood Center,36.480702,-81.361979,REGULAR,a7de92e9-35cd-4c0e-bb75-f9f4dc7326da,26-08-2021 04:30,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,,100,818,WEEK,60906229fc13ae0a6b00009f,Hoppe-Lueilwitz,Willow Sheep,willow@hoppe-lueilwitz.com,Angela Martin,112,West Savanahbury,WV,28617,South,5,19-09-2021 14:49,3,14,Neutral
Cardstock,10313.4,,Just ok,585 Clove Trail,29.808328,-90.750267,REGULAR,d6e5d6cb-7a86-4043-8204-932e19aa6c38,28-01-2021 19:01,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,18.91,,60,4514,ANNUAL,60906229fc13ae0a6b0002dd,Ward and Sons,Tammi Monkey,tammi@ward.com,Phyllis Vance,3,Elmoreville,OH,70301,Midwest,5,27-02-2021 02:28,3,4,Neutral
Multipurpose,414016.2,,Love them! Took one star off because their express shipping is EXPENSIVE,29835 Browning Avenue,33.832642,-93.126092,EXPRESS,0822135f-8c3d-44b4-944a-66d7949061e3,19-08-2021 04:29,COMPLETED,,2700-LQO,"EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2300.09,,100,180,3601,ANNUAL,60906229fc13ae0a6b00017a,Denesik-Wilkinson,Timbra Sheep,timbra@denesik-wilkinson.com,Dwight Schrute,29,South Delilah,GA,71773,South,5,03-09-2021 07:50,4,3,Positive
Multipurpose,2179.8,,Love them! Took one star off because their express shipping is EXPENSIVE,72482 Esch Circle,27.025247,-82.346959,EXPRESS,086952fc-6fe7-4c64-90e7-45deebf7cd0f,01-06-2021 01:26,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,100,20,979,ANNUAL,60906229fc13ae0a6b0002f8,Schneider Ltd,Walker Dog,walker@schneider.com,Erin Hannon,14,Alycemouth,SC,34304,South,4,26-06-2021 19:26,4,10,Positive
Cardstock,184.5,,Love them! Took one star off because their express shipping is EXPENSIVE,86 La Follette Way,41.790684,-76.355747,REGULAR,128acdc8-f933-40d7-9921-e83f69d24f66,28-05-2021 12:21,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,,50,788,ANNUAL,60906229fc13ae0a6b0001cb,Grimes and Sons,Flurry Hamster,flurry@grimes.com,Dwight Schrute,86,New Chesley,HI,18868,West,8,19-06-2021 23:38,4,12,Positive
Multipurpose,8719.2,,Love them! Took one star off because their express shipping is EXPENSIVE,457 Pleasure Street,39.313089,-120.207783,EXPRESS,134ed752-1f69-414c-9331-ac8bacbc9c3e,31-08-2021 13:20,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,100,80,561,WEEK,60906229fc13ae0a6b00012f,"Douglas, Okuneva and Farrell",Dobie Wolf,dobie@douglas.com,Meredith Palmer,6,Olsonmouth,NY,96457,Northeast,1,20-09-2021 05:39,4,7,Positive
Multipurpose,5473.3,,Love them! Took one star off because their express shipping is EXPENSIVE,511 Eastlawn Pass,30.806085,-83.190044,REGULAR,2fad7a3b-24ec-4f80-ab0f-f67f09426024,04-04-2021 06:14,COMPLETED,,OX9001,"Boise X-9 Multipurpose Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 10 Reams/Carton",78.19,,,70,997,ANNUAL,60906229fc13ae0a6b00023e,Fay-Volkman,Snooty Anteater,snooty@fay-volkman.com,Pam Beesly,138,Haleyview,KS,31609,Midwest,3,15-04-2021 04:04,4,15,Positive
Copy,259020,,Love them! Took one star off because their express shipping is EXPENSIVE,0 Hermina Circle,32.999309,-96.841688,REGULAR,4964f025-1452-4280-92d1-ecd421c015e7,29-09-2021 12:57,COMPLETED,,324791-LQO,"Copy Paper, 20 lbs., 92 Brightness, 500 Sheets/Ream, 40 Cases/Pallet",1439,,,180,132,MONTH,60906229fc13ae0a6b0001eb,"Mohr, Heller and Russel",Jitters Bird,jitters@mohr.com,Erin Hannon,11,East Anaisshire,PA,75303,Northeast,3,21-10-2021 11:59,4,9,Positive
Printer,2374.2,,Love them! Took one star off because their express shipping is EXPENSIVE,1 Johnson Trail,28.995934,-82.439628,REGULAR,6fa23c4f-a04f-43f1-8e12-6c2232ff8648,15-11-2021 04:02,COMPLETED,,20270,"Astrobrights Color Paper, 24 lb./89 gsm, Neon 5-Color Assortment, 500 Sheets/Pack",13.19,,,180,266,MONTH,60906229fc13ae0a6b000113,Tillman-Haley,Yuka Koala,yuka@tillman-haley.com,Dwight Schrute,117,Lake Damaris,AL,34434,South,6,08-12-2021 01:52,4,5,Positive
Multipurpose,5939.1,,Love them! Took one star off because their express shipping is EXPENSIVE,6 Prairie Rose Lane,44.762335,-85.703568,REGULAR,74c2abad-18a6-4565-99d2-acbd4b32a7ef,04-12-2021 10:18,COMPLETED,,3R02047,"Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",65.99,5.28,,90,581,WEEK,60906229fc13ae0a6b000052,"King, Howell and Swift",Cesar Gorilla,cesar@king.com,Erin Hannon,39,Dorthafurt,MT,49685,West,7,15-12-2021 11:01,4,3,Positive
Multipurpose,6539.4,,Love them! Took one star off because their express shipping is EXPENSIVE,0965 Butternut Drive,40.647735,-73.879477,REGULAR,8ebdc4e5-3cb3-4397-82cb-4b73af50418e,13-11-2021 14:34,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,,60,958,ANNUAL,60906229fc13ae0a6b000235,"Ernser, Marquardt and Brekke",Walker Dog,walker@ernser.com,Erin Hannon,85,Colliermouth,VT,11341,Northeast,1,09-12-2021 16:43,4,6,Positive
Cardstock,15470.1,,Love them! Took one star off because their express shipping is EXPENSIVE,670 Sutteridge Way,40.500795,-74.427911,REGULAR,a7ed4503-4fe9-4c33-a068-4f6fd1322fbe,09-08-2021 19:00,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,36.1,,90,4182,ANNUAL,60906229fc13ae0a6b000361,Donnelly Group,Dobie Wolf,dobie@donnelly.com,Michael Scott,22,Okeyland,CT,9220,Northeast,1,30-08-2021 01:58,4,6,Positive
Cardstock,405.9,,Love them! Took one star off because their express shipping is EXPENSIVE,40097 Manufacturers Terrace,34.143876,-94.980172,EXPRESS,c29d5809-5146-43f6-af5c-4f3d5773122e,27-11-2021 01:12,COMPLETED,,91335,"Neenah Paper Creative Collection Basic 8.5"" x 11"" Cardstock Paper, 65 lbs., 50 Sheets/Pack",3.69,,100,110,314,BIWEEK,60906229fc13ae0a6b000310,Gutkowski Group,Cube Penguin,cube@gutkowski.com,Angela Martin,31,Lorenzaview,CT,74793,Northeast,1,12-12-2021 16:05,4,4,Positive
Multipurpose,4359.6,,Love them! Took one star off because their express shipping is EXPENSIVE,7 Elka Street,33.338867,-87.469325,EXPRESS,c7f62897-2d80-4909-ad5b-073a2ef977c3,15-07-2021 20:00,COMPLETED,,NMP1124,"Navigator Premium Multipurpose Paper, 24 lbs., 99 Brightness, 500/Ream, 10 Reams/Carton",108.99,,100,40,115,BIWEEK,60906229fc13ae0a6b000031,"Kautzer, O'Kon and Hills",Nana Monkey,nana@kautzer.com,Angela Martin,129,Gustfort,KY,35437,South,3,27-07-2021 14:44,4,2,Positive
Multipurpose,3299.5,,Love them! Took one star off because their express shipping is EXPENSIVE,4 Hoffman Way,42.139366,-84.811584,REGULAR,c9c2168d-f61c-4cbb-bb9a-181ffe9e7b97,25-04-2021 00:52,COMPLETED,,3R02047,"Xerox Vitality Multipurpose Paper, 8.5"" x 11"", 20 lbs., White, 500 Sheets/Ream, 10 Reams/Carton",65.99,12.54,,50,923,ANNUAL,60906229fc13ae0a6b00028e,Wolff Group,Miranda Duck,miranda@wolff.com,Ryan Howard,109,East Derekstad,NY,49245,Northeast,2,14-05-2021 21:44,4,4,Positive
Cardstock,18907.9,,Love them! Took one star off because their express shipping is EXPENSIVE,2851 Main Crossing,35.863313,-104.954298,EXPRESS,d129ca1f-d742-4408-827f-7c8e21bfe63c,18-01-2021 14:06,COMPLETED,,3R11458,"Xerox Bold 8.5"" x 11"" Cardstock Paper, 80 lbs, 94 Brightness, 250/Ream, 8 Reams/Carton",171.89,5.16,100,110,3235,ANNUAL,60906229fc13ae0a6b000027,Nienow-Bashirian,Bianca Tiger,bianca@nienow-bashirian.com,Dwight Schrute,145,West Sedrick,WY,87771,West,5,01-02-2021 18:10,4,11,Positive
Multipurpose,184007.2,,Love them! Took one star off because their express shipping is EXPENSIVE,1 Stang Place,30.485554,-90.487687,REGULAR,dea59608-e741-4ce5-815c-60468d804c5a,03-03-2021 01:33,COMPLETED,,2700-LQO,"EarthChoice Multipurpose Paper, 20 lbs., 92 Brightness, 40 Cases/Pallet",2300.09,,,80,2611,ANNUAL,60906229fc13ae0a6b000359,Bayer-Heathcote,Boone Gorilla,boone@bayer-heathcote.com,Kevin Malone,3,North Ilaville,HI,70410,West,8,19-03-2021 08:16,4,4,Positive
